win_T,lose_T,win_L,diff
Cleveland Cavaliers,New York Knicks,A,3
Los Angeles Lakers,Phoenix Suns,A,7
Portland Trail Blazers,Denver Nuggets,H,17
Minnesota Timberwolves,Utah Jazz,A,11
Washington Wizards,Sacramento Kings,H,18
Boston Celtics,Brooklyn Nets,A,7
San Antonio Spurs,Dallas Mavericks,A,6
Toronto Raptors,Houston Rockets,A,16
Atlanta Hawks,Sacramento Kings,H,46
Cleveland Cavaliers,Charlotte Hornets,A,8
Philadelphia 76ers,Los Angeles Lakers,A,6
Indiana Pacers,Memphis Grizzlies,A,3
Washington Wizards,Miami Heat,A,9
Milwaukee Bucks,Detroit Pistons,H,4
Minnesota Timberwolves,San Antonio Spurs,H,12
Toronto Raptors,New Orleans Pelicans,A,9
New York Knicks,Utah Jazz,H,5
Oklahoma City Thunder,Chicago Bulls,H,13
Portland Trail Blazers,Orlando Magic,H,5
Boston Celtics,Golden State Warriors,H,4
Houston Rockets,Phoenix Suns,A,26
Brooklyn Nets,Utah Jazz,H,11
Chicago Bulls,Charlotte Hornets,H,3
Cleveland Cavaliers,Los Angeles Clippers,H,5
Minnesota Timberwolves,Dallas Mavericks,A,24
Denver Nuggets,New Orleans Pelicans,H,32
Indiana Pacers,Detroit Pistons,H,7
Phoenix Suns,Los Angeles Lakers,A,9
Sacramento Kings,Portland Trail Blazers,H,4
San Antonio Spurs,Oklahoma City Thunder,H,3
Toronto Raptors,New York Knicks,H,23
Miami Heat,Washington Wizards,A,3
Boston Celtics,Atlanta Hawks,A,11
Charlotte Hornets,Los Angeles Clippers,H,15
Dallas Mavericks,Milwaukee Bucks,H,32
Houston Rockets,Memphis Grizzlies,A,22
Utah Jazz,Orlando Magic,A,40
Golden State Warriors,Philadelphia 76ers,A,8
Portland Trail Blazers,Sacramento Kings,H,12
Golden State Warriors,Brooklyn Nets,A,7
Los Angeles Lakers,Denver Nuggets,H,18
Indiana Pacers,Miami Heat,A,25
Detroit Pistons,Minnesota Timberwolves,A,3
Phoenix Suns,Chicago Bulls,H,8
Toronto Raptors,Washington Wizards,H,9
Charlotte Hornets,Minnesota Timberwolves,H,16
Boston Celtics,Dallas Mavericks,A,8
Cleveland Cavaliers,Detroit Pistons,A,28
Portland Trail Blazers,Memphis Grizzlies,A,8
Washington Wizards,Milwaukee Bucks,A,11
New Orleans Pelicans,Oklahoma City Thunder,H,7
New York Knicks,Los Angeles Clippers,H,22
Indiana Pacers,Orlando Magic,A,8
Philadelphia 76ers,Utah Jazz,H,21
Denver Nuggets,Sacramento Kings,A,16
San Antonio Spurs,Atlanta Hawks,H,11
Los Angeles Lakers,Chicago Bulls,H,9
Los Angeles Clippers,Atlanta Hawks,A,13
Charlotte Hornets,Washington Wizards,H,5
Cleveland Cavaliers,Brooklyn Nets,H,10
Houston Rockets,Denver Nuggets,H,30
Dallas Mavericks,Memphis Grizzlies,A,1
Miami Heat,Boston Celtics,H,6
Minnesota Timberwolves,Orlando Magic,H,6
New Orleans Pelicans,San Antonio Spurs,H,17
New York Knicks,Toronto Raptors,H,8
Oklahoma City Thunder,Golden State Warriors,H,17
Philadelphia 76ers,Portland Trail Blazers,H,20
Milwaukee Bucks,Phoenix Suns,A,6
Sacramento Kings,Los Angeles Lakers,H,11
Utah Jazz,Chicago Bulls,H,30
Atlanta Hawks,New York Knicks,H,12
Boston Celtics,Orlando Magic,H,15
Portland Trail Blazers,Brooklyn Nets,A,2
Cleveland Cavaliers,Charlotte Hornets,H,1
Denver Nuggets,Memphis Grizzlies,H,12
Golden State Warriors,Chicago Bulls,H,49
Indiana Pacers,Toronto Raptors,H,3
Miami Heat,Minnesota Timberwolves,A,12
Detroit Pistons,Oklahoma City Thunder,A,1
New Orleans Pelicans,Phoenix Suns,A,24
Toronto Raptors,Atlanta Hawks,A,34
San Antonio Spurs,Charlotte Hornets,A,20
Dallas Mavericks,Oklahoma City Thunder,H,16
Golden State Warriors,New Orleans Pelicans,H,15
Houston Rockets,New York Knicks,H,15
Boston Celtics,Indiana Pacers,A,10
Philadelphia 76ers,Orlando Magic,H,19
Los Angeles Clippers,Sacramento Kings,A,2
Utah Jazz,Milwaukee Bucks,H,13
Portland Trail Blazers,Washington Wizards,A,3
Miami Heat,Chicago Bulls,A,7
Brooklyn Nets,Memphis Grizzlies,A,10
Minnesota Timberwolves,Phoenix Suns,H,11
Detroit Pistons,Boston Celtics,A,10
Sacramento Kings,Golden State Warriors,A,4
Houston Rockets,Brooklyn Nets,H,14
Indiana Pacers,Orlando Magic,H,12
Los Angeles Clippers,Los Angeles Lakers,H,5
Portland Trail Blazers,New York Knicks,A,12
Cleveland Cavaliers,Philadelphia 76ers,A,22
San Antonio Spurs,Dallas Mavericks,H,7
Phoenix Suns,Chicago Bulls,A,5
Cleveland Cavaliers,Miami Heat,H,11
Washington Wizards,Minnesota Timberwolves,A,3
Milwaukee Bucks,Sacramento Kings,A,25
Utah Jazz,Denver Nuggets,H,29
Brooklyn Nets,Dallas Mavericks,A,5
Detroit Pistons,Phoenix Suns,H,24
Houston Rockets,Indiana Pacers,H,21
Golden State Warriors,Los Angeles Lakers,A,4
Minnesota Timberwolves,New Orleans Pelicans,A,18
New York Knicks,Miami Heat,H,29
Orlando Magic,Oklahoma City Thunder,H,13
Philadelphia 76ers,Washington Wizards,H,5
San Antonio Spurs,Memphis Grizzlies,H,9
Toronto Raptors,Charlotte Hornets,H,13
Cleveland Cavaliers,Atlanta Hawks,A,7
Boston Celtics,Philadelphia 76ers,H,11
Denver Nuggets,Chicago Bulls,H,1
Utah Jazz,Los Angeles Clippers,A,19
Milwaukee Bucks,Portland Trail Blazers,A,12
Sacramento Kings,Chicago Bulls,A,1
San Antonio Spurs,Memphis Grizzlies,A,16
Miami Heat,Charlotte Hornets,H,5
Oklahoma City Thunder,Minnesota Timberwolves,H,4
Golden State Warriors,Orlando Magic,A,21
Toronto Raptors,Indiana Pacers,H,5
Utah Jazz,New Orleans Pelicans,H,6
Washington Wizards,Detroit Pistons,H,18
Boston Celtics,Phoenix Suns,H,5
Atlanta Hawks,Brooklyn Nets,A,12
Cleveland Cavaliers,Memphis Grizzlies,H,5
Dallas Mavericks,Los Angeles Clippers,H,26
Denver Nuggets,Los Angeles Lakers,H,15
Milwaukee Bucks,Sacramento Kings,H,5
Philadelphia 76ers,Detroit Pistons,H,5
New Orleans Pelicans,Portland Trail Blazers,A,7
Houston Rockets,Los Angeles Lakers,A,23
Golden State Warriors,Miami Heat,A,28
Minnesota Timberwolves,Los Angeles Clippers,H,6
Orlando Magic,New York Knicks,A,5
Oklahoma City Thunder,San Antonio Spurs,H,3
Brooklyn Nets,Atlanta Hawks,A,20
Boston Celtics,Milwaukee Bucks,H,11
Cleveland Cavaliers,Chicago Bulls,A,22
Charlotte Hornets,Orlando Magic,H,10
Dallas Mavericks,Denver Nuggets,H,17
Indiana Pacers,New York Knicks,H,18
Memphis Grizzlies,Minnesota Timberwolves,H,3
Golden State Warriors,New Orleans Pelicans,A,10
