win_T,lose_T,win_L,diff
Memphis Grizzlies,Detroit Pistons,H,13
Philadelphia 76ers,Dallas Mavericks,H,12
Golden State Warriors,Phoenix Suns,A,17
Toronto Raptors,Orlando Magic,H,11
Brooklyn Nets,Chicago Bulls,H,9
Denver Nuggets,Portland Trail Blazers,H,6
Toronto Raptors,Detroit Pistons,A,10
New Orleans Pelicans,Los Angeles Clippers,A,13
Oklahoma City Thunder,Miami Heat,A,22
Milwaukee Bucks,Orlando Magic,H,16
Minnesota Timberwolves,Memphis Grizzlies,H,19
Cleveland Cavaliers,New York Knicks,A,14
San Antonio Spurs,Sacramento Kings,H,13
Philadelphia 76ers,Atlanta Hawks,A,8
Phoenix Suns,Dallas Mavericks,A,27
Charlotte Hornets,Indiana Pacers,A,26
Houston Rockets,Los Angeles Lakers,A,6
Utah Jazz,Golden State Warriors,H,40
Washington Wizards,Boston Celtics,H,12
Boston Celtics,Brooklyn Nets,H,13
Detroit Pistons,Chicago Bulls,A,32
New York Knicks,Cleveland Cavaliers,A,12
Los Angeles Lakers,Los Angeles Clippers,A,15
Miami Heat,Toronto Raptors,H,7
Minnesota Timberwolves,Denver Nuggets,H,6
New Orleans Pelicans,San Antonio Spurs,H,24
Oklahoma City Thunder,Memphis Grizzlies,H,14
Orlando Magic,Washington Wizards,H,9
Philadelphia 76ers,Milwaukee Bucks,H,35
Portland Trail Blazers,Utah Jazz,H,9
Sacramento Kings,Houston Rockets,H,13
